Pkm Fever — every ability (181)
Generated from src/engine/abilities.ts. Alphabetical.

Adaptability         Its same-type attack bonus is ×2 instead of ×1.5.
Ground Deficiency    In battle it is not Ground type: Ground moves get no same-type bonus from it, and the type chart ignores Ground when it is hit. A pure Ground type becomes typeless. No effect if it is not Ground.
Ground Drinker       Damaging Ground moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Ground status moves still affect it.
Ground Fury          Its Ground moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Ground Guard         It takes 50% less damage from Ground moves.
Guts                 While it has a status condition (burn, poison, paralysis, sleep or freeze), its Attack stat is 50% higher, and a burn no longer halves its physical damage.
Gym Rat              Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: HP Up, Protein, Iron, Calcium, Zinc, Carbos. Eggs and creatures in the box find nothing.
Hard Worker          The EVs it earns from each defeated foe are doubled. The limits of 252 per stat and 510 in total still apply.
Headstrong           Its nature counts double both ways: the raised stat about +20% and the lowered stat about −20%, instead of 10% each. A neutral nature is unaffected.
Heatproof            It takes 50% less damage from Fire moves.
Herbalist            Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: Potion, Super Potion, Hyper Potion, Full Heal, Revive. Eggs and creatures in the box find nothing.
Huge Power           Its Attack stat is doubled.
Hustle               Its Attack stat is 50% higher, but its physical moves' accuracy is multiplied by 0.8.
Hydration            At the end of each turn in rain, its status condition is cured.
Hyper Cutter         Attack drops caused by the foe (its moves, Intimidate) are blocked. Drops from its own moves still happen.
Ice Affinity         In battle it is also Ice type: its Ice moves get the same-type bonus, and it takes and resists hits as a Ice type too. No effect if it is already Ice.
Ice Body             At the end of each turn in hail or snow, it restores 1/16 of its max HP (at least 1).
Ice Deficiency       In battle it is not Ice type: Ice moves get no same-type bonus from it, and the type chart ignores Ice when it is hit. A pure Ice type becomes typeless. No effect if it is not Ice.
Ice Drinker          Damaging Ice moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Ice status moves still affect it.
Ice Fury             Its Ice moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Ice Guard            It takes 50% less damage from Ice moves.
Immunity             It cannot be poisoned. Poison it already has is not cured.
Insomnia             It cannot fall asleep. Sleep it is already in is not cured.
Intimidate           When it enters battle, the foe's Attack falls one stage. Blocked by Scrappy, Clear Body, Hyper Cutter and Mist.
Leaf Guard           In harsh sunlight it cannot get a new status condition. One it already has stays.
Levitate             Damaging Ground moves have no effect on it, and it does not count as grounded, so terrain does not affect it.
Limber               It cannot be paralysed. Paralysis it already has is not cured.
Magma Armor          It cannot be frozen. Being frozen already is not cured.
Marathoner           All the EVs it earns from each defeated foe go into HP, doubled, whatever the foe would normally teach. A held Macho Brace or Power item that picks a stat overrides which stat. The limits of 252 per stat and 510 in total still apply.
Marvel Scale         While it has a status condition (burn, poison, paralysis, sleep or freeze), its Defence stat is 50% higher.
Misty Surge          When it enters battle, starts Misty Terrain for 5 turns, unless it is already up.
Monk                 Its Double Kick does double damage (every hit, for a multi-hit move). No effect on its other moves.
Moxie                Its Attack rises one stage each time one of its damaging moves knocks out the foe.
Natural Cure         When it switches out without having fainted, its status condition is cured.
No Guard             Its moves never miss. Moves used against it can still miss.
Normal Affinity      In battle it is also Normal type: its Normal moves get the same-type bonus, and it takes and resists hits as a Normal type too. No effect if it is already Normal.
Normal Deficiency    In battle it is not Normal type: Normal moves get no same-type bonus from it, and the type chart ignores Normal when it is hit. A pure Normal type becomes typeless. No effect if it is not Normal.
Normal Drinker       Damaging Normal moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Normal status moves still affect it.
Normal Fury          Its Normal moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Normal Guard         It takes 50% less damage from Normal moves.
Overgrow             Its Grass moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Paladin              Its Metal Claw does double damage (every hit, for a multi-hit move). No effect on its other moves.
Poison Affinity      In battle it is also Poison type: its Poison moves get the same-type bonus, and it takes and resists hits as a Poison type too. No effect if it is already Poison.
Poison Deficiency    In battle it is not Poison type: Poison moves get no same-type bonus from it, and the type chart ignores Poison when it is hit. A pure Poison type becomes typeless. No effect if it is not Poison.
Poison Drinker       Damaging Poison moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Poison status moves still affect it.
Poison Fury          Its Poison moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Poison Guard         It takes 50% less damage from Poison moves.
Prankster            Its status moves get +1 priority, except when the foe is a Dark type.
Psychic Affinity     In battle it is also Psychic type: its Psychic moves get the same-type bonus, and it takes and resists hits as a Psychic type too. No effect if it is already Psychic.
Psychic Deficiency   In battle it is not Psychic type: Psychic moves get no same-type bonus from it, and the type chart ignores Psychic when it is hit. A pure Psychic type becomes typeless. No effect if it is not Psychic.
Psychic Drinker      Damaging Psychic moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Psychic status moves still affect it.
Psychic Fury         Its Psychic moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Psychic Guard        It takes 50% less damage from Psychic moves.
Psychic Surge        When it enters battle, starts Psychic Terrain for 5 turns, unless it is already up.
Quick Feet           While it has a status condition (burn, poison, paralysis, sleep or freeze), its Speed stat is 50% higher. Paralysis still halves Speed first, so while paralysed it is at 75%.
Rain Dish            At the end of each turn in rain, it restores 1/16 of its max HP (at least 1).
Ranger               Its Aerial Ace does double damage (every hit, for a multi-hit move). No effect on its other moves.
Reckless             Its moves that have recoil do 20% more damage.
Regenerator          When it switches out without having fainted, it restores 1/3 of its max HP.
Rock Affinity        In battle it is also Rock type: its Rock moves get the same-type bonus, and it takes and resists hits as a Rock type too. No effect if it is already Rock.
Rock Deficiency      In battle it is not Rock type: Rock moves get no same-type bonus from it, and the type chart ignores Rock when it is hit. A pure Rock type becomes typeless. No effect if it is not Rock.
Rock Drinker         Damaging Rock moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Rock status moves still affect it.
Rock Fury            Its Rock moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Rock Guard           It takes 50% less damage from Rock moves.
Rock Head            It takes no recoil from its own moves. Struggle's HP cost still applies.
Rockhound            Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: Leaf, Fire, Water, Thunder, Ice, Moon, Sun, Dusk, Dawn and Shiny Stones. Eggs and creatures in the box find nothing.
Rogue                Its Feint Attack does double damage (every hit, for a multi-hit move). No effect on its other moves.
Sand Force           During a sandstorm, its Rock, Ground and Steel moves do 30% more damage. It still takes sandstorm damage unless its type is immune.
Sand Rush            Its Speed stat is doubled during a sandstorm.
Sand Stream          When it enters battle, starts a sandstorm for 5 turns, unless one is already blowing.
Sand Veil            During a sandstorm, the accuracy of moves used against it is multiplied by 0.8.
Scavenger            Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: Potion, Super Potion, Poké Ball, Great Ball, Repel, Super Repel, Escape Rope, Full Heal, Revive, Ultra Ball. Eggs and creatures in the box find nothing.
Scholar              All the EVs it earns from each defeated foe go into Sp. Atk, doubled, whatever the foe would normally teach. A held Macho Brace or Power item that picks a stat overrides which stat. The limits of 252 per stat and 510 in total still apply.
Scrappy              Its Normal and Fighting moves hit Ghost types normally, and Intimidate does not affect it.
Shield Dust          The chance-based extra effects of the foe's moves (burns, flinches, stat drops) never happen to it. A move's main effect, like Thunder Wave's paralysis, still works.
Simple               Every stat stage change it receives is doubled: +1 becomes +2 and −1 becomes −2, still capped at ±6. Applies to its own moves and the foe's.
Slush Rush           Its Speed stat is doubled during hail or snow.
Snow Cloak           During hail or snow, the accuracy of moves used against it is multiplied by 0.8.
Snow Warning         When it enters battle, starts snow for 5 turns, unless it is already snowing.
Solid Rock           Super-effective hits against it do about 33% less damage (×0.667).
Sorcerer             Its Ember does double damage (every hit, for a multi-hit move). No effect on its other moves.
Sprinter             All the EVs it earns from each defeated foe go into Speed, doubled, whatever the foe would normally teach. A held Macho Brace or Power item that picks a stat overrides which stat. The limits of 252 per stat and 510 in total still apply.
Steel Affinity       In battle it is also Steel type: its Steel moves get the same-type bonus, and it takes and resists hits as a Steel type too. No effect if it is already Steel.
Steel Deficiency     In battle it is not Steel type: Steel moves get no same-type bonus from it, and the type chart ignores Steel when it is hit. A pure Steel type becomes typeless. No effect if it is not Steel.
Steel Drinker        Damaging Steel moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Steel status moves still affect it.
Steel Fury           Its Steel moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Steel Guard          It takes 50% less damage from Steel moves.
Stoic                All the EVs it earns from each defeated foe go into Sp. Def, doubled, whatever the foe would normally teach. A held Macho Brace or Power item that picks a stat overrides which stat. The limits of 252 per stat and 510 in total still apply.
Strong-Willed        Its nature's bonus to the raised stat is doubled (about +20% instead of +10%). The lowered stat is lowered as usual. A neutral nature is unaffected.
Sturdy               At full HP, a hit that would knock it out leaves it at 1 HP instead.
Super Luck           Its critical-hit ratio is one stage higher.
Surge Surfer         Its Speed stat is doubled on Electric Terrain while it is grounded.
Swarm                Its Bug moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Swift Swim           Its Speed stat is doubled while it is raining.
Technician           Its moves with 60 power or less, as used, do 50% more damage. Counts each blow of a multi-hit move and a stand-in power, and includes Struggle.
Thick Fat            It takes 50% less damage from Fire and Ice moves.
Tinted Lens          Its not-very-effective hits do double damage: a ×0.5 hit becomes ×1 and a ×0.25 hit becomes ×0.5.
Torrent              Its Water moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Treasure Hunter      Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: Nugget, Pearl. Eggs and creatures in the box find nothing.
Volt Absorb          Damaging Electric moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Electric status moves still affect it.
Warlock              Its Hex does double damage (every hit, for a multi-hit move). No effect on its other moves.
Water Absorb         Damaging Water moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Water status moves still affect it.
Water Affinity       In battle it is also Water type: its Water moves get the same-type bonus, and it takes and resists hits as a Water type too. No effect if it is already Water.
Water Deficiency     In battle it is not Water type: Water moves get no same-type bonus from it, and the type chart ignores Water when it is hit. A pure Water type becomes typeless. No effect if it is not Water.
Water Guard          It takes 50% less damage from Water moves.
Water Veil           It cannot be burned. A burn it already has is not cured.
Weightlifter         All the EVs it earns from each defeated foe go into Attack, doubled, whatever the foe would normally teach. A held Macho Brace or Power item that picks a stat overrides which stat. The limits of 252 per stat and 510 in total still apply.
Wizard               Its Swift does double damage (every hit, for a multi-hit move). No effect on its other moves.
Workaholic           The EVs it earns from each defeated foe are tripled. The limits of 252 per stat and 510 in total still apply.
